year,month,day,day_pillar,month_pillar,year_pillar,lunar_year,lunar_month,lunar_day,is_leap_month,solar_term_hanja,solar_term_korean,term_time,term_time_seoul_lmt,term_time_utc
1900,9,19,乙未,乙酉,庚子,1900,8,26,,,,,,
1900,9,20,丙申,乙酉,庚子,1900,8,27,,,,,,
1900,9,21,丁酉,乙酉,庚子,1900,8,28,,,,,,
1900,9,22,戊戌,乙酉,庚子,1900,8,29,,,,,,
1900,9,23,己亥,乙酉,庚子,1900,8,30,,秋分,추분,190009232119,190009232047,190009231219
1900,9,24,庚子,乙酉,庚子,1900,8,1,,,,,,
1900,9,25,辛丑,乙酉,庚子,1900,8,2,,,,,,
1900,9,26,壬寅,乙酉,庚子,1900,8,3,,,,,,
1900,9,27,癸卯,乙酉,庚子,1900,8,4,,,,,,
1900,9,28,甲辰,乙酉,庚子,1900,8,5,,,,,,
1900,9,29,乙巳,乙酉,庚子,1900,8,6,,,,,,
1900,9,30,丙午,乙酉,庚子,1900,8,7,,,,,,
1900,10,1,丁未,乙酉,庚子,1900,8,8,,,,,,
1900,10,2,戊申,乙酉,庚子,1900,8,9,,,,,,
1900,10,3,己酉,乙酉,庚子,1900,8,10,,,,,,
1900,10,4,庚戌,乙酉,庚子,1900,8,11,,,,,,
1900,10,5,辛亥,乙酉,庚子,1900,8,12,,,,,,
1900,10,6,壬子,乙酉,庚子,1900,8,13,,,,,,
1900,10,7,癸丑,乙酉,庚子,1900,8,14,,,,,,
1900,10,8,甲寅,乙酉,庚子,1900,8,15,,,,,,
1900,10,9,乙卯,丙戌,庚子,1900,8,16,,寒露,한로,190010090312,190010090240,190010081812
1900,10,10,丙辰,丙戌,庚子,1900,8,17,,,,,,
1900,10,11,丁巳,丙戌,庚子,1900,8,18,,,,,,
1900,10,12,戊午,丙戌,庚子,1900,8,19,,,,,,
1900,10,13,己未,丙戌,庚子,1900,8,20,,,,,,
1900,10,14,庚申,丙戌,庚子,1900,8,21,,,,,,
1900,10,15,辛酉,丙戌,庚子,1900,8,22,,,,,,
1900,10,16,壬戌,丙戌,庚子,1900,8,23,,,,,,
